#Ensembl_Gene_ID EntrezGene_ID
ENSG00000000003	7105
ENSG00000000005	64102
ENSG00000000419	8813
ENSG00000000457	57147
ENSG00000000460	55732
ENSG00000000938	2268
ENSG00000000971	3075
ENSG00000001036	2519
ENSG00000001084	2729
ENSG00000001167	4800
ENSG00000001460	90529
ENSG00000001461	57185
ENSG00000001497	81887
ENSG00000001561	22875
ENSG00000001617	6405
ENSG00000001626	1080
ENSG00000001629	54467
ENSG00000001630	1595
ENSG00000001631	889
ENSG00000002016	5893
ENSG00000002079	84176
ENSG00000002330	572
ENSG00000002549	51056
ENSG00000002586	4267
ENSG00000002587	9957
ENSG00000002726	26
ENSG00000002745	51384
ENSG00000002746	23072
ENSG00000002822	8379
ENSG00000002834	3927
ENSG00000002919	29916
ENSG00000002933	55365
ENSG00000003056	4074
ENSG00000003096	90293
ENSG00000003137	56603
ENSG00000003147	3382
ENSG00000003249	79007
ENSG00000003393	57679
ENSG00000003400	843
ENSG00000003402	8837
ENSG00000003436	7035
ENSG00000003509	55471
ENSG00000003756	10181
ENSG00000003987	9108
ENSG00000003989	6542
ENSG00000004059	381
ENSG00000004139	23098
ENSG00000004142	26073
ENSG00000004399	23129
ENSG00000004455	204
ENSG00000004468	952
ENSG00000004478	2288
ENSG00000004487	23028
ENSG00000004534	10180
ENSG00000004660	84254
ENSG00000004700	5965
ENSG00000004766	55610
ENSG00000004776	126393
ENSG00000004777	115703
ENSG00000004779	4706
ENSG00000004799	5166
ENSG00000004809	85413
ENSG00000004838	51364
ENSG00000004846	340273
ENSG00000004848	170302
ENSG00000004864	10165
ENSG00000004866	102466616
ENSG00000004866	7982
ENSG00000004866	93655
ENSG00000004897	996
ENSG00000004939	6521
ENSG00000004948	799
ENSG00000004961	3052
ENSG00000004975	1856
ENSG00000005001	64063
ENSG00000005007	5976
ENSG00000005020	8935
ENSG00000005022	292
ENSG00000005059	55013
ENSG00000005073	3207
ENSG00000005075	5439
ENSG00000005100	56919
ENSG00000005102	4222
ENSG00000005108	221981
ENSG00000005156	3980
ENSG00000005175	79657
ENSG00000005187	6296
ENSG00000005189	81691
ENSG00000005194	57019
ENSG00000005238	80256
ENSG00000005243	51226
ENSG00000005249	5577
ENSG00000005302	10943
ENSG00000005339	1387
ENSG00000005379	9256
ENSG00000005381	4353
ENSG00000005421	5444
ENSG00000005436	6936
ENSG00000005448	84058
ENSG00000005469	54677
ENSG00000005471	5244
ENSG00000005483	55904
ENSG00000005486	57414
ENSG00000005513	30812
ENSG00000005700	25998
ENSG00000005801	7748
ENSG00000005810	23077
ENSG00000005812	26224
ENSG00000005844	3683
ENSG00000005882	5164
ENSG00000005884	3675
ENSG00000005889	7543
ENSG00000005893	3920
ENSG00000005955	79893
ENSG00000005961	3674
ENSG00000005981	51666
ENSG00000006007	51573
ENSG00000006015	55049
ENSG00000006016	9244
ENSG00000006025	114881
ENSG00000006042	26022
ENSG00000006047	51087
ENSG00000006059	3883
ENSG00000006071	6833
ENSG00000006074	6362
ENSG00000006075	6348
ENSG00000006114	11276
ENSG00000006116	10368
ENSG00000006118	54972
ENSG00000006125	163
ENSG00000006128	6863
ENSG00000006194	10127
ENSG00000006194	283876
ENSG00000006210	6376
ENSG00000006282	64847
ENSG00000006283	8913
ENSG00000006327	51330
ENSG00000006377	1750
ENSG00000006432	4293
ENSG00000006451	5898
ENSG00000006453	55971
ENSG00000006459	80853
ENSG00000006468	2115
ENSG00000006530	55750
ENSG00000006534	221
ENSG00000006555	55001
ENSG00000006576	57157
ENSG00000006606	10344
ENSG00000006607	9855
ENSG00000006611	10083
ENSG00000006625	79017
ENSG00000006634	10926
ENSG00000006638	6915
ENSG00000006652	3475
ENSG00000006659	56891
ENSG00000006695	1352
ENSG00000006704	9569
ENSG00000006712	54623
ENSG00000006715	27072
ENSG00000006740	9912
ENSG00000006744	60528
ENSG00000006747	85477
ENSG00000006756	414
ENSG00000006757	8228
ENSG00000006788	8735
ENSG00000006831	79602
ENSG00000006837	51265
ENSG00000007001	151531
ENSG00000007038	10942
ENSG00000007047	57787
ENSG00000007062	8842
ENSG00000007080	115098
ENSG00000007129	90273
ENSG00000007168	5048
ENSG00000007171	4843
ENSG00000007174	1770
ENSG00000007202	9703
ENSG00000007216	9058
ENSG00000007237	8522
ENSG00000007255	79090
ENSG00000007264	4145
ENSG00000007306	1087
ENSG00000007312	974
ENSG00000007314	6329
ENSG00000007341	54879
ENSG00000007350	8277
ENSG00000007372	5080
ENSG00000007376	113000
ENSG00000007384	64285
ENSG00000007392	55692
ENSG00000007402	9254
ENSG00000007516	8938
ENSG00000007520	115939
ENSG00000007541	9091
ENSG00000007545	57585
ENSG00000007866	7005
ENSG00000007908	6401
ENSG00000007923	55735
ENSG00000007933	2328
ENSG00000007944	29116
ENSG00000007952	27035
ENSG00000007968	1870
ENSG00000008018	5689
ENSG00000008056	6853
ENSG00000008083	3720
ENSG00000008086	6792
ENSG00000008118	57172
ENSG00000008128	728642
ENSG00000008128	984
ENSG00000008130	65220
ENSG00000008196	7021
ENSG00000008197	83741
ENSG00000008226	9940
ENSG00000008256	9265
ENSG00000008277	53616
ENSG00000008282	6856
ENSG00000008283	1534
ENSG00000008294	9043
ENSG00000008300	1951
ENSG00000008311	10157
ENSG00000008323	55200
ENSG00000008324	51188
ENSG00000008382	84954
ENSG00000008394	4257
ENSG00000008405	1407
ENSG00000008438	8993
ENSG00000008441	4784
ENSG00000008513	6482
ENSG00000008516	64386
ENSG00000008517	9235
ENSG00000008710	101930075
ENSG00000008710	5310
ENSG00000008735	23542
ENSG00000008838	102466757
ENSG00000008838	9862
ENSG00000008853	23221
ENSG00000008869	54497
ENSG00000008952	7095
ENSG00000008988	26795
ENSG00000008988	6224
ENSG00000009307	7812
ENSG00000009335	9690
ENSG00000009413	5980
ENSG00000009694	10178
ENSG00000009709	5081
ENSG00000009724	10747
ENSG00000009765	389434
ENSG00000009780	199870
ENSG00000009790	80342
ENSG00000009830	29954
ENSG00000009844	51534
ENSG00000009950	51085
ENSG00000009954	9031
ENSG00000010017	10048
ENSG00000010030	51513
ENSG00000010072	83932
ENSG00000010165	51603
ENSG00000010219	8798
ENSG00000010244	7756
ENSG00000010256	7384
ENSG00000010270	83930
ENSG00000010278	928
ENSG00000010282	57467
ENSG00000010292	9918
ENSG00000010295	25900
